182999385	Chimpay			locality	6448	-3917	-6615	Argentina	Río Negro	Avellaneda
183250732	Gorbea			locality	9680	-3910	-7268	Chile	Araucanía	Cautín
183250760	Coipué			locality	185	-3910	-7240	Chile	Araucanía	Cautín
183251293	Villa Regina			locality	31088	-3910	-6707	Argentina	Río Negro	General Roca
183251307	Chichinales			locality	3697	-3910	-6693	Argentina	Río Negro	General Roca
183323142	Arroyito			locality	136	-3908	-6858	Argentina	Neuquén	Confluencia
183323285	General Enrique Godoy			locality	3683	-3908	-6715	Argentina	Río Negro	General Roca
183359270	Mainqué			locality	1835	-3907	-6730	Argentina	Río Negro	General Roca
183359742	Teniente Origone			locality	130	-3907	-6258	Argentina	Buenos Aires	Villarino
183431262	Cervantes			locality	3997	-3905	-6738	Argentina	Río Negro	General Roca
183503595	Colonia Juliá y Echarren			locality	973	-3903	-6405	Argentina	Río Negro	Pichi Mahuida
183538703	Comuy			locality	474	-3902	-7297	Chile	Araucanía	Cautín
183539239	General Roca			locality	78788	-3902	-6761	Argentina	Río Negro	General Roca
183539592	Río Colorado			locality	12367	-3902	-6408	Argentina	Río Negro	Pichi Mahuida
183611158	Senillosa			locality	6698	-3900	-6842	Argentina	Neuquén	Confluencia
183611838	Balneario Pehuen Co			locality	1303	-3900	-6162	Argentina	Buenos Aires	Coronel de Marina Leonardo Rosales
183682707	Barros Arana			locality	1329	-3898	-7293	Chile	Araucanía	Cautín
183682735	Pitrufquén			locality	18005	-3898	-7265	Chile	Araucanía	Cautín
183682760	Radal			locality	1190	-3898	-7240	Chile	Araucanía	Cautín
183682770	Choroico			locality	308	-3898	-7230	Chile	Araucanía	Cautín
183683882	Balneario Sauce Grande			locality	396	-3898	-6118	Argentina	Buenos Aires	Monte Hermoso
183718695	Teodoro Schmidt			locality	3859	-3897	-7305	Chile	Araucanía	Cautín
183718777	Los Laureles			locality	1825	-3897	-7223	Chile	Araucanía	Cautín
183719217	Allen			locality	22989	-3897	-6783	Argentina	Río Negro	General Roca
183719615	Anzoategui			locality	6	-3897	-6385	Argentina	La Pampa	Caleu Caleu
183754737	Freire			locality	8064	-3896	-7263	Chile	Araucanía	Cautín
183790783	Las Hortensias			locality	481	-3895	-7217	Chile	Araucanía	Cautín
183791194	Neuquén	Neuquén-Plottier, Plottier		locality	267697	-3895	-6806	Argentina	Neuquén	Confluencia
183791208	General Fernández Oro			locality	6542	-3895	-6792	Argentina	Río Negro	General Roca
183827076	Cutral Có	Cutral-Có, Plaza Huincul		locality	45182	-3894	-6924	Argentina	Neuquén	Confluencia
183863202	Cipolletti			locality	73221	-3893	-6798	Argentina	Río Negro	General Roca
183898797	Cunco			locality	10422	-3892	-7203	Chile	Araucanía	Cautín
183899845	Monte Hermoso			locality	8548	-3892	-6155	Argentina	Buenos Aires	Monte Hermoso
183970993	Zapala			locality	35507	-3890	-7007	Argentina	Neuquén	Zapala
184042675	Puerto Domínguez			locality	501	-3888	-7325	Chile	Araucanía	Cautín
184043687	Juan Cousté	Algarrobo		locality	1848	-3888	-6313	Argentina	Buenos Aires	Villarino
184043792	Punta Alta	Est. Almirante Solier		locality	58322	-3888	-6208	Argentina	Buenos Aires	Coronel de Marina Leonardo Rosales
184078787	Huichahue			locality	140	-3887	-7213	Chile	Araucanía	Cautín
184079788	Villa del Mar			locality	554	-3887	-6212	Argentina	Buenos Aires	Coronel de Marina Leonardo Rosales
184150738	Quepe			locality	4240	-3885	-7262	Chile	Araucanía	Cautín
184222980	Los Catutos			locality	365	-3883	-7020	Argentina	Neuquén	Zapala
184223732	Médanos			locality	6312	-3883	-6268	Argentina	Buenos Aires	Villarino
184223963	Reta			locality	464	-3883	-6037	Argentina	Buenos Aires	Tres Arroyos
184259193	Cinco Saltos			locality	16509	-3882	-6807	Argentina	Río Negro	General Roca
184259790	Villa General Arias	Kilómetro 638		locality	1809	-3882	-6210	Argentina	Buenos Aires	Coronel de Marina Leonardo Rosales
184260023	Balneario Orense			locality	80	-3882	-5977	Argentina	Buenos Aires	Tres Arroyos
184331187	Centenario			locality	34212	-3880	-6813	Argentina	Neuquén	Confluencia
184331893	Faro			locality	42	-3880	-6107	Argentina	Buenos Aires	Coronel Dorrego
184438740	Padre las Casas			locality	40765	-3877	-7260	Chile	Araucanía	Cautín
184439738	Argerich			locality	89	-3877	-6262	Argentina	Buenos Aires	Villarino
184439810	Bajo Hondo			locality	147	-3877	-6190	Argentina	Buenos Aires	Coronel de Marina Leonardo Rosales
184510658	Nehuentúe			locality	573	-3875	-7342	Chile	Araucanía	Cautín
184510725	Labranza			locality	10758	-3875	-7275	Chile	Araucanía	Cautín
