233184275	233400278
233184275	233040268
233184275	233112283
391616908	391436910
391616908	391760899
391616908	391076900
386864722	386756728
386864722	386684728
386864722	387152720
391724323	391760324
391724323	391724325
391724323	391724321
391724321	391724323
391724321	391796320
391724321	391832321
288370351	288226351
288370351	288478347
288370351	288514339
391724327	391796326
391724327	391724325
391724327	391760332
391724325	391760324
391724325	391724323
391724325	391796326
309001923	309433924
309001923	309433925
309001923	308461928
373473032	373473028
373473032	373401027
373473032	373617026
196212002	196463983
196212002	195708022
196212002	197040023
351766764	351982775
351766764	352162755
351766764	352162776
258563623	258743604
258563623	257951608
258563623	257483615
394927798	394783798
394927798	394819793
394927798	394711795
379413160	379269160
379413160	379521155
379413160	379089158
382652251	382688245
382652251	382364247
382652251	382544262
391039968	391039972
391039968	390895970
391039968	391291963
160931005	159562973
160931005	161723053
160931005	159851092
402415721	402559723
402415721	402595724
402415721	402595725
406843762	406483759
406843762	406483758
406843762	406447758
372357277	371889280
372357277	372537290
372357277	372429262
348384198	348384197
348384198	348420197
348384198	348384200
348384195	348420195
348384195	348384197
348384195	348420197
348384197	348384198
348384197	348420197
348384197	348384195
397196077	397088081
397196077	397376078
397196077	397412078
395828071	395792071
395828071	395720068
395828071	395684067
390393090	390465107
390393090	390537115
390393090	390645060
416167204	416383204
416167204	416095213
416167204	415735208
414439621	414223626
414439621	414943626
414439621	413755619
393632364	393668366
393632364	393740363
393632364	393884364
221159238	221231235
221159238	221051243
221159238	220943237
297986412	298274415
297986412	298166423
297986412	298310403
267958515	268390534
267958515	268462537
267958515	267634547
300038470	300074463
300038470	299966458
300038470	299966457
386648053	386504053
386648053	386792053
386648053	386972054
396116204	396044206
396116204	396224204
396116204	396260206
402488190	402740185
402488190	402920170
402488190	403424183
226199753	225983762
226199753	226379743
226199753	225731740
345754429	346006429
345754429	345502428
345754429	346006435
431323086	431503069
431323086	431683070
431323086	430891102
171766690	171946684
171766690	172270652
171766690	173098713
287005231	286645258
287005231	288229215
287005231	285241259
359254521	359110518
359254521	359758530
359254521	358534517
396115951	396007948
396115951	396295955
396115951	395863954
286826307	286754313
286826307	287114312
286826307	287042298
395900012	395900009
395900012	395972015
395900012	395864016
378081206	378081203
378081206	378117202
378081206	377937210
378081203	378117202
378081203	378081200
378081203	378081206
378081200	378117202
378081200	378081203
378081200	377937198
383912700	383948700
383912700	383804701
383912700	384020698
385100091	384992074
385100091	384920084
385100091	384740071
259681850	258925857
259681850	259177830
259681850	260473827
273037334	273325362
273037334	274153305
273037334	271921388
202691838	203051840
202691838	202583823
202691838	202331825
273974025	274406038
273974025	274334042
273974025	273362036
357598471	357634469
357598471	357778473
357598471	357418475
359973582	359937581
359973582	359937583
359973582	360009585
399787819	399751818
399787819	399715822
399787819	399643819
359973587	360009588
359973587	360009585
359973587	360045589
392047995	391975998
392047995	391939990
392047995	392011987
203663922	203303920
203663922	204059917
203663922	203879935
305042173	304934182
305042173	305654162
305042173	305474190
380637210	380529213
380637210	380781212
380637210	380781215
389204670	389204669
389204670	389168671
389204670	389276669
397736299	397592293
397736299	397628291
397736299	397340308
239953063	239593058
239953063	240241055
239953063	239845050
275482756	275626769
275482756	275590774
275482756	275734779
391868222	391832224
391868222	391796221
391868222	391976222
215651607	215471607
215651607	215579615
215651607	215723617
231960543	232032542
231960543	231960539
231960543	231672530
387944075	387872075
387944075	387800071
387944075	387872082
329484910	331284922
329484910	326892887
329484910	326532860
263317793	264181782
263317793	263461765
263317793	262633768
396080055	395936056
396080055	396188058
396080055	396152051
398240180	398384182
398240180	398312186
398240180	398456176
229584282	228972287
229584282	229584301
229584282	230484277
220836399	221232395
220836399	219144395
220836399	220260353
399717215	399573221
399717215	399213216
399717215	399393199
399067958	399103958
399067958	399139956
399067958	399139960
399823860	399859862
399823860	399715861
399823860	399967860
209710903	209602902
209710903	209530903
209710903	209530898
168850640	168958644
168850640	169174643
168850640	169102647
310154757	305042462
